Company,Quarter,Gross_Margin,RD_Intensity,Revenue_Growth
BYD,2020Q1,0.17220801000110555,0.05150570211750833,0.5740509375678645
BYD,2020Q2,0.1798349330168895,0.0634384031247251,0.33670524294494636
BYD,2020Q3,0.17873351444620736,0.058679972757200716,0.47810531374938314
BYD,2020Q4,0.17977822953287795,0.0516980210871851,0.56238933867128
BYD,2021Q1,0.19090380483523947,0.06225305959274292,0.5638826281528226
BYD,2021Q2,0.1880145856270854,0.04686283155848439,0.6100884776020846
BYD,2021Q3,0.1829904060489859,0.05701739011572041,0.45729143675817263
BYD,2021Q4,0.17655922494606457,0.053924649107538476,0.4076796380504925
BYD,2022Q1,0.16979408158408957,0.05678764115427015,0.5302188931468953
BYD,2022Q2,0.18943220968618701,0.0594763203158454,0.47973893041507254
BYD,2022Q3,0.15705341072394893,0.06093895260423965,0.6358636610354028
BYD,2022Q4,0.17614126690046872,0.05144676287789824,0.2895293251507154
BYD,2023Q1,0.17312822530923785,0.05148025275302947,0.3753509798593078
BYD,2023Q2,0.16990676200555657,0.05424886653174762,0.5451464205031676
BYD,2023Q3,0.16914297014374954,0.05306039762827558,0.49848532125905837
BYD,2023Q4,0.1787381933195814,0.053304846378153393,0.5886182716619426
Tesla,2020Q1,0.18184953485760572,0.04686679481652101,0.5826219084090672
Tesla,2020Q2,0.20364738676276462,0.045128940999738694,0.4085892288912567
Tesla,2020Q3,0.18940569176092567,0.043556092225335664,0.6743221731532815
Tesla,2020Q4,0.18727569250436082,0.04318234022677001,0.48483279263618967
Tesla,2021Q1,0.21604583480549788,0.04015017233211129,0.5086539419552293
Tesla,2021Q2,0.19465529697654707,0.05522380961526269,0.3573149244841755
Tesla,2021Q3,0.19713115293636893,0.039679451139020154,0.3868247990175151
Tesla,2021Q4,0.1890728096534601,0.04729221098684285,0.6194579037618134
Tesla,2022Q1,0.20267144934264195,0.04729096485123619,0.35464729677431145
Tesla,2022Q2,0.18867875263108783,0.04643948679181351,0.44867652036199895
Tesla,2022Q3,0.18996741613429083,0.0432282078288875,0.6709405780865852
Tesla,2022Q4,0.19709905612427034,0.05715606399670812,0.42480653219085696
Tesla,2023Q1,0.20505044096057587,0.042531213425791255,0.46734306599170505
Tesla,2023Q2,0.18467664988180887,0.0510495129162682,0.38588863045640637
Tesla,2023Q3,0.19444984216172137,0.04213117607719485,0.5656706117177501
Tesla,2023Q4,0.19013637263106445,0.03873404512382331,0.5008555613597009
